,Age,MonthlyIncome,DurationOfPitch,Passport,ProductPitched,PitchSatisfactionScore,NumberOfTrips,NumberOfFollowups,Designation,PreferredPropertyStar,CityTier,MaritalStatus_Unmarried,TotalVisiting,Gender,Occupation_Small Business,Occupation_Salaried,OwnCar,Occupation_Large Business,TypeofContact_Company Invited
2485,0.2325581395348838,-0.4981293351299161,-0.7908081211089137,0,0,3,3.0,4.0,2,5.0,1,0,5.0,0,0,1,0,0,0
357,0.06976744186046513,-1.2627242893605024,-1.1650023144655137,1,0,5,2.0,4.0,2,4.0,3,1,3.0,0,0,0,1,1,1
1402,0.3023255813953488,-1.4705270792619232,-0.9155395188944471,1,0,5,2.0,5.0,2,3.0,1,0,2.0,0,1,0,1,0,0
4832,0.7906976744186046,2.9830148179937885,2.452208221314954,0,2,3,5.0,5.0,0,3.0,1,1,5.0,1,0,1,0,0,1
3997,0.4883720930232558,0.09604744594706488,-0.2918825299667802,1,2,1,2.0,6.0,0,3.0,1,0,7.0,0,1,0,0,0,1
230,0.7906976744186046,-1.0563134798699045,-0.9155395188944471,0,0,3,1.0,4.0,2,3.0,1,1,2.0,0,0,1,0,0,0
1107,0.4651162790697675,-0.48659578315452623,0.08231166338981993,0,2,3,4.0,3.0,0,3.0,2,0,5.0,1,0,1,0,0,1
1192,0.7209302325581396,-1.1805974451219505,0.8307000501030202,1,0,1,5.0,3.0,2,5.0,1,0,4.0,0,1,0,1,0,0
1917,0.39534883720930236,-0.7570376915429781,-0.2918825299667802,0,2,3,1.0,3.0,0,3.0,3,0,3.0,1,1,0,0,0,0
3782,0.3023255813953488,-0.7486858090780406,-0.2918825299667802,0,0,5,3.0,4.0,2,3.0,3,1,4.0,1,1,0,0,0,0
2546,0.06976744186046513,-0.38179954365400115,-0.2918825299667802,1,0,2,3.0,5.0,2,3.0,1,1,6.0,0,0,1,1,0,1
3635,0.32558139534883723,0.12527903457434608,-0.41661392775231354,0,2,1,3.0,4.0,0,3.0,3,0,7.0,0,0,1,0,0,0
299,0.7674418604651162,-0.6049141180744739,-0.9155395188944471,0,2,2,6.0,5.0,0,4.0,1,0,2.0,1,1,0,0,0,0
3128,0.5348837209302326,0.9662340570557894,0.20704306117535332,0,1,4,4.0,5.0,1,4.0,3,0,6.0,1,1,0,1,0,0
202,0.45633174702942136,-0.234050765762369,0.08231166338981993,1,0,3,2.0,3.0,2,3.0,1,0,2.0,1,1,0,1,0,1
969,0.6976744186046512,-0.12448202199616534,-0.6660767233233803,0,1,5,2.0,3.0,1,3.0,1,1,3.0,1,0,1,1,0,0
4582,0.2558139534883721,-0.49097057873139827,0.08231166338981993,0,0,3,7.0,4.0,2,3.0,1,0,5.0,0,1,0,0,0,0
1575,0.9534883720930233,2.0521776318420657,-0.9155395188944471,0,4,1,1.0,4.0,4,3.0,2,0,3.0,0,0,1,0,0,1
